Ticker
AAPL
MSFT
GOOGL
GOOG
AMZN
NVDA
META
TSLA
BRK.B
LLY
AVGO
V
JPM
UNH
WMT
XOM
MA
JNJ
HD
PG
COST
ORCL
CVX
ABBV
MRK
ADBE
BAC
CRM
KO
PEP
AMD
ACN
NFLX
MCD
TMO
CSCO
INTC
LIN
ABT
TMUS
WFC
CMCSA
INTU
DHR
DIS
NKE
PFE
QCOM
BX
VZ
BA
TXN
AMGN
MS
UNP
IBM
CAT
PM
NOW
COP
GE
SPGI
HON
AXP
UPS
AMAT
LOW
UBER
PLD
GS
BKNG
NEE
SCHW
RTX
BLK
ISRG
T
SYK
DE
LMT
ELV
MDT
SBUX
BMY
TJX
VRTX
LRCX
CVS
AMT
GILD
ADI
C
MDLZ
MU
ETN
ADP
PANW
MMC
PGR
ABNB
REGN
CB
ZTS
CI
BSX
FI
SNPS
SHW
KLAC
ITW
CME
SLB
SO
EQIX
CDNS
DUK
ANET
HCA
MO
EOG
WM
MCO
ICE
BDX
NOC
GD
CSX
USB
LULU
PYPL
MAR
TGT
CL
CMG
FDX
FCX
PNC
APD
CTAS
MCK
APH
NXPI
PSX
PH
MMM
AON
MNST
ROP
MPC
CHTR
ECL
ORLY
HUM
TDG
TT
EMR
OXY
PXD
NSC
PSA
ADSK
EL
MSI
RSG
PCAR
DHI
CCI
WELL
COF
GM
TFC
MCHP
MET
F
NEM
AJG
CARR
AFL
DXCM
AIG
CPRT
HLT
SPG
SRE
IDXX
EW
ROST
KDP
FTNT
AZO
ODFL
HES
VLO
KHC
MSCI
TEL
NUE
STZ
PAYX
WMB
TRV
AEP
IQV
LEN
O
GWW
DLR
KVUE
A
OKE
COR
KMB
BK
LHX
KMI
CNC
D
URI
DOW
JCI
AMP
ADM
AME
CTSH
PCG
GIS
BIIB
PRU
FAST
HSY
SYY
EA
LVS
CEG
OTIS
YUM
ON
MRNA
ALL
CSGP
FIS
GEHC
ROK
EXC
PPG
IT
BKR
VRSK
XEL
CMI
CTVA
EXR
GPN
NDAQ
RCL
HAL
DD
KR
VICI
LYB
ANSS
PWR
ED
IR
MLM
CDW
PEG
EFX
HPQ
VMC
DLTR
MPWR
DVN
DG
FICO
CBRE
FANG
KEYS
BF.B
DFS
ACGL
TTWO
WBD
XYL
SBAC
EIX
AVB
DAL
MTD
WST
WEC
GLW
FTV
AWK
RMD
APTV
ZBH
WY
CAH
WTW
GRMN
TROW
HIG
STT
BR
FITB
RJF
EQR
TSCO
ULTA
EBAY
WAB
MTB
CHD
DTE
WBA
CCL
ILMN
ARE
NVR
PHM
HWM
HPE
STE
EXPE
DOV
ES
ETR
VRSN
LYV
INVH
MOH
ALGN
ROL
JBHT
FE
PTC
BLDR
IFF
TDY
IRM
VLTO
VTR
BRO
FLT
PPL
STLD
WAT
GPC
DRI
BAX
AXON
CTRA
TRGP
LH
AEE
PFG
EXPD
K
COO
NTAP
HBAN
ENPH
MKC
FSLR
WRB
TSN
SWKS
AKAM
BALL
RF
CNP
FDS
STX
ALB
CLX
LUV
TYL
HUBB
HRL
NTRS
EPAM
WDC
ATO
HOLX
OMC
CE
CMS
TER
JBL
BBY
AVY
IEX
J
EQT
CINF
TXT
SYF
ESS
MAA
CFG
DGX
CF
L
EG
POOL
SNA
LW
MGM
PODD
MAS
SWK
NDSN
GEN
LDOS
BG
BEN
PKG
MRO
DPZ
INCY
AMCR
FOXA
FOX
UAL
HST
NWS
NWSA
ZBRA
CAG
KIM
KEY
CBOE
RVTY
SJM
TAP
TRMB
LNT
CPB
LKQ
AES
VTRS
IP
IPG
UDR
REG
TECH
AOS
KMX
CRL
JKHY
PNR
PAYC
MOS
EVRG
TFX
NI
GL
NRG
BXP
ALLE
APA
QRVO
MKTX
PEAK
WRK
FFIV
EMN
CDAY
CPT
WYNN
CHRW
HII
ETSY
CZR
PARA
BBWI
HSIC
MTCH
DVA
UHS
RL
JNPR
BIO
AAL
RHI
NCLH
AIZ
TPR
FRT
BWA
PNW
CTLT
IVZ
GNRC
FMC
XRAY
CMA
VFC
HAS
MHK
WHR
ZION
